attack_id	kind	selector_json	before_json	operation_json	after_json	expected	clause	expected_witness	validity	mutation_score
A11-subdivisions-65	negative	{"fixture_id":"S22-linear-oklab"}	{"fixture_id":"S22-linear-oklab","interval":{"id":"g0:g1","eligible":true,"subdivisions":64}}	[{"op":"replace","path":"/interval/subdivisions","before":64,"value":65}]	{"fixture_id":"S22-linear-oklab","interval":{"id":"g0:g1","eligible":true,"subdivisions":65}}	Violated	G10;O06;O08	eligible interval g0:g1 publishes subdivisions=65 > 64	valid-negative	included
A12-interiors-64	negative	{"fixture_id":"S22-radial-oklab"}	{"fixture_id":"S22-radial-oklab","interval":{"id":"g0:g1","eligible":true,"a_i":63},"totals":{"M":2,"R":1,"E":65}}	[{"op":"replace","path":"/interval/a_i","before":63,"value":64},{"op":"replace","path":"/totals/E","before":65,"value":66}]	{"fixture_id":"S22-radial-oklab","interval":{"id":"g0:g1","eligible":true,"a_i":64},"totals":{"M":2,"R":1,"E":66}}	Violated	G10;O06;O07	interval adaptive interiors a_i=64 > 63; E=66 > M+63R=65	valid-negative	included
A13-midpoints-128	negative	{"fixture_id":"S23-linear-linearrgb"}	{"fixture_id":"S23-linear-linearrgb","interval":{"id":"g0:g1","eligible":true,"d_i":127,"b_i":0,"q_i":127}}	[{"op":"replace","path":"/interval/d_i","before":127,"value":128},{"op":"replace","path":"/interval/q_i","before":127,"value":128}]	{"fixture_id":"S23-linear-linearrgb","interval":{"id":"g0:g1","eligible":true,"d_i":128,"b_i":0,"q_i":128}}	Violated	G10;O06;O08	midpoint_decisions d_i=128 > 127	valid-negative	included
A14-boundaries-127	negative	{"fixture_id":"S23-radial-linearrgb"}	{"fixture_id":"S23-radial-linearrgb","interval":{"id":"g0:g1","eligible":true,"d_i":0,"b_i":126,"q_i":126}}	[{"op":"replace","path":"/interval/b_i","before":126,"value":127},{"op":"replace","path":"/interval/q_i","before":126,"value":127}]	{"fixture_id":"S23-radial-linearrgb","interval":{"id":"g0:g1","eligible":true,"d_i":0,"b_i":127,"q_i":127}}	Violated	G10;O06;O08	boundary_sampler_calls b_i=127 > 126	valid-negative	included
A15-sampler-254	negative	{"fixture_id":"S24-linear-oklab"}	{"fixture_id":"S24-linear-oklab","interval":{"id":"g0:g1","eligible":true,"d_i":127,"b_i":126,"q_i":253}}	[{"op":"replace","path":"/interval/q_i","before":253,"value":254}]	{"fixture_id":"S24-linear-oklab","interval":{"id":"g0:g1","eligible":true,"d_i":127,"b_i":126,"q_i":254}}	Violated	G10;O06;O08	total_sampler_calls q_i=254 > 253 and q_i != d_i+b_i (253)	valid-negative	included
A16-logical-used-as-M	negative	{"fixture_id":"S14-radial-oklab"}	{"fixture_id":"S14-radial-oklab","counts":{"logical_stops":2,"effective_public_stops":3,"M":3,"R":2,"E":17}}	[{"op":"replace","path":"/counts/M","before":3,"value":2}]	{"fixture_id":"S14-radial-oklab","counts":{"logical_stops":2,"effective_public_stops":3,"M":2,"R":2,"E":17}}	Violated	G10;G10H;O07;O07H	published M=2 equals logical_stops but differs from effective_public_stops=3	valid-negative	included
A17-affine-expansion-overrun	negative	{"fixture_id":"S06-linear-linearrgb"}	{"fixture_id":"S06-linear-linearrgb","intervals":[{"id":"g0:g1","a_i":63},{"id":"g1:g2","a_i":63}],"counts":{"M":3,"R":2,"E":129}}	[{"op":"replace","path":"/counts/E","before":129,"value":130}]	{"fixture_id":"S06-linear-linearrgb","intervals":[{"id":"g0:g1","a_i":63},{"id":"g1:g2","a_i":63}],"counts":{"M":3,"R":2,"E":130}}	Violated	G10;O07	E=130 while M+sum(a_i)=129 and M+63R=129	valid-negative	included
A18-erase-s20-stroke	negative	{"fixture_id":"S20-linear-oklab"}	{"fixture_id":"S20-linear-oklab","role":"stroke","geometry":{"width":0.0,"stroke_width":8.0},"support":{"painted_area":192.0,"mask_digest":"stroke-mask-v1"}}	[{"op":"replace","path":"/support/painted_area","before":192.0,"value":0.0},{"op":"replace","path":"/support/mask_digest","before":"stroke-mask-v1","value":"empty-mask"}]	{"fixture_id":"S20-linear-oklab","role":"stroke","geometry":{"width":0.0,"stroke_width":8.0},"support":{"painted_area":0.0,"mask_digest":"empty-mask"}}	Violated	G06;G07A;O09	S20 zero-width path loses positive 8pt stroke support (area 192 -> 0)	valid-negative	included
A19-paint-s21-fill	negative	{"fixture_id":"S21-radial-linearrgb"}	{"fixture_id":"S21-radial-linearrgb","role":"fill","geometry":{"width":100.0,"height":0.0},"support":{"positive_fill_area":0.0,"mask_digest":"empty-fill-mask"}}	[{"op":"replace","path":"/support/positive_fill_area","before":0.0,"value":64.0},{"op":"replace","path":"/support/mask_digest","before":"empty-fill-mask","value":"positive-fill-mask"}]	{"fixture_id":"S21-radial-linearrgb","role":"fill","geometry":{"width":100.0,"height":0.0},"support":{"positive_fill_area":64.0,"mask_digest":"positive-fill-mask"}}	Violated	G07B;O10	S21 zero-height fill gains positive-area paint 64 > 0	valid-negative	included
A20-break-url	negative	{"fixture_id":"S02-linear-oklab"}	{"fixture_id":"S02-linear-oklab","graph":{"paint_url":"#grad-1","defs":["grad-1"],"resolved":true}}	[{"op":"replace","path":"/graph/paint_url","before":"#grad-1","value":"#missing"},{"op":"replace","path":"/graph/resolved","before":true,"value":false}]	{"fixture_id":"S02-linear-oklab","graph":{"paint_url":"#missing","defs":["grad-1"],"resolved":false}}	Violated	G03;O11	paint URL #missing has no local target in defs	valid-negative	included
A21-break-graph-role	negative	{"fixture_id":"S02-radial-oklab"}	{"fixture_id":"S02-radial-oklab","graph":{"variant":"radialGradient","role":"stroke","target":"grad-r1","closed":true,"raster_nodes":0}}	[{"op":"replace","path":"/graph/role","before":"stroke","value":"fill"},{"op":"replace","path":"/graph/closed","before":true,"value":false}]	{"fixture_id":"S02-radial-oklab","graph":{"variant":"radialGradient","role":"fill","target":"grad-r1","closed":false,"raster_nodes":0}}	Violated	G03;G07A;O11	server attached to wrong paint role and graph closure flag lost	valid-negative	included
A22-break-geometry	negative	{"fixture_id":"S09-radial-linearrgb"}	{"fixture_id":"S09-radial-linearrgb","geometry":{"variant":"radial","center":[0.25,0.75],"radius":0.6,"focal":[0.2,0.7],"transform_count":1}}	[{"op":"replace","path":"/geometry/focal","before":[0.2,0.7],"value":[0.5,0.5]},{"op":"replace","path":"/geometry/transform_count","before":1,"value":2}]	{"fixture_id":"S09-radial-linearrgb","geometry":{"variant":"radial","center":[0.25,0.75],"radius":0.6,"focal":[0.5,0.5],"transform_count":2}}	Violated	G03;G09;O11	radial focal changes and item transform is applied twice	valid-negative	included
A23-unknown-promoted	protocol-negative	{"case_id":"coincident-exact-right-hand-ambiguous"}	{"case_id":"coincident-exact-right-hand-ambiguous","classification":"Unknown","counts_as_success":false,"mutation_numerator":"excluded","evidence":"exact-point oracle unavailable"}	[{"op":"replace","path":"/classification","before":"Unknown","value":"Preserved"},{"op":"replace","path":"/counts_as_success","before":false,"value":true}]	{"case_id":"coincident-exact-right-hand-ambiguous","classification":"Preserved","counts_as_success":true,"mutation_numerator":"excluded","evidence":"exact-point oracle unavailable"}	Violated	G12;G14;O12;unknown-policy	an explicitly opaque case is converted from Unknown to success without resolving the missing exact-point oracle	valid-negative	included
A24-order-dependent	protocol-negative	{"run_id":"order-check"}	{"run_id":"order-check","direct":{"semantic_digest":"sha256:111","ordered_stop_ids":["g0","a0","g1"]},"inverse":{"semantic_digest":"sha256:111","ordered_stop_ids":["g0","a0","g1"]}}	[{"op":"replace","path":"/inverse/semantic_digest","before":"sha256:111","value":"sha256:222"},{"op":"replace","path":"/inverse/ordered_stop_ids","before":["g0","a0","g1"],"value":["g0","g1","a0"]}]	{"run_id":"order-check","direct":{"semantic_digest":"sha256:111","ordered_stop_ids":["g0","a0","g1"]},"inverse":{"semantic_digest":"sha256:222","ordered_stop_ids":["g0","g1","a0"]}}	Violated	G12;G13;O12	direct and inverse traversals yield different semantic digests and stop order	valid-negative	included
A25-repeat-dependent	protocol-negative	{"run_id":"repeat-check"}	{"run_id":"repeat-check","first":{"semantic_digest":"sha256:333","E":17},"repeat":{"semantic_digest":"sha256:333","E":17}}	[{"op":"replace","path":"/repeat/semantic_digest","before":"sha256:333","value":"sha256:444"},{"op":"replace","path":"/repeat/E","before":17,"value":18}]	{"run_id":"repeat-check","first":{"semantic_digest":"sha256:333","E":17},"repeat":{"semantic_digest":"sha256:444","E":18}}	Violated	G10;G12;G13;O08;O12	repeated execution changes semantic digest and emitted count 17 -> 18	valid-negative	included
