l0_file	line	consumer	classification	measurement	text
00_nucleo/prompts/compiler/show-regex.md	25	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- **Scope-out**: split interno do nó de texto casado; `.where(field:)` é materializado em P417/P467 (não neste passo).
00_nucleo/prompts/compiler/show-regex.md	50	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- A paridade é semântica (ADR-0107): todo o nó de texto que casa é transformado. A divisão interna do nó (split por match) é scope-out deste passo.
00_nucleo/prompts/compiler/show-regex.md	69	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## 8. Scope-out
00_nucleo/prompts/compiler/math/layout/spacing.md	127	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	vanilla resolveria por item) não são um caso observado nos benchmarks actuais — scope-out
00_nucleo/prompts/compiler/math/layout/root.md	99	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	P944 relatório §8.3 item 6) fica para passo dedicado — scope-out registado.
00_nucleo/prompts/compiler/math/layout/root.md	119	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	"em scope-out (""fica para passo dedicado"") — este é esse passo."
00_nucleo/prompts/infra/plugin_host.md	84	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	o pool é optimização de concorrência — **scope-out** de P698 (host testado em
00_nucleo/prompts/compiler/stdlib/tiling-stdlib.md	7	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**ADRs**: ADR-0017 (portão aberto por P395), ADR-0107 (paridade linguagem), ADR-0054 (graded scope-out).
00_nucleo/prompts/compiler/stdlib/tiling-stdlib.md	27	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	"- `Value::Gradient(_)` → erro `""gradient em tiling não suportado — scope-out ADR-0054""`."
00_nucleo/prompts/compiler/stdlib/tiling-stdlib.md	59	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	exhaustivo. Não adicionar pattern fill real (scope-out ADR-0054).
00_nucleo/prompts/compiler/stdlib/tiling-stdlib.md	61	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## 6. Scope-out
00_nucleo/prompts/shell/diagnostic.md	122	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## Scope-out
00_nucleo/prompts/infra/pipeline.md	169	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	de Grid/Table/etc. neste subset (scope-out pré-existente, inalterado
00_nucleo/prompts/infra/pipeline.md	172	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	scope-out benigno — era resultado **silenciosamente vazio**, porque
00_nucleo/prompts/infra/bibtex.md	80	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## Limitações / scope-outs
00_nucleo/prompts/compiler/math/layout/frac.md	147	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	P944 relatório §8.3 item 6) fica para passo dedicado — scope-out registado.
00_nucleo/prompts/compiler/math/layout/frac.md	162	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**Correcção** (supera o scope-out registado em P944 §8.3.6 — aprovado pelo
00_nucleo/prompts/infra/export/svg.md	30	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	/// Exporta uma página para SVG (texto sem fontes resolvidas → scope-out/tofu).
00_nucleo/prompts/compiler/stdlib/text.md	8	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**ADRs**: ADR-0037 (coesão por domínio), ADR-0054 (perfil graded / scope-outs),
00_nucleo/prompts/compiler/stdlib/text.md	122	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	As mensagens de scope-out de `underline`/`strike`/`overline` (`evade`, `background`) e de
00_nucleo/prompts/compiler/stdlib/text.md	130	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	deste fatiamento**. Fica registado aqui com dono: o passo que revisitar os scope-outs
00_nucleo/prompts/compiler/stdlib/text.md	185	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	"| 2026-08-13 | Fatiado em hub + 8 nós; o L0 passa a especificar a fronteira e a história, a superfície muda para os L0s dos nós; fecha a lacuna ""deriva (F4)"" (`upper`/`lower`/`replace` nunca especificados) e três derivas de scope-out (`size` em `sub`/`super`, `radius`/`extent` em `highlight`, consumer de `smallcaps`) | `stdlib/text/*.rs`, `stdlib/text/*.md` |"
00_nucleo/prompts/infra/fonts.md	147	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	/// `text/font/exceptions.rs:46-342` (todas as entradas, sem scope-out).
00_nucleo/prompts/compiler/math/layout/cancel.md	16	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- Sem `inverted`/`cross`/`angle`/`stroke` cosméticos — scope-out para passo futuro dedicado a
00_nucleo/prompts/entities/version.md	222	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## 10. Scope-out
00_nucleo/prompts/infra/layout_bidi.md	344	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## Scope-out
00_nucleo/prompts/compiler/math/layout/_comum.md	324	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	`Spacing::Fractional` (`1fr`) fica `width: 0.0` — scope-out registado, não
00_nucleo/prompts/infra/export/font_subset.md	140	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## Scope-outs
00_nucleo/prompts/compiler/stdlib/sym.md	65	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## 6. Scope-out
00_nucleo/prompts/compiler/stdlib/sym.md	67	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- Tabela completa do vanilla (~centenas de símbolos emoji) — apenas grupos com uso identificado no corpus são implementados em P766; restantes ficam scope-out consciente.
00_nucleo/prompts/compiler/stdlib/sym.md	68	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- **P820 — depreciação ao nível de variante**: o codex `sym.txt` (vanilla 0.15.0) tem 14 tags `@deprecated`; 13 são ao nível de **variante** (`gt.tri`, `gt.tri.eq`, `gt.tri.eq.not`, `gt.tri.not`, `lt.tri` + 3, `tack.*.double` ×5) e ficam em scope-out — requerem mensagem de depreciação por variante em `SymbolVariant`, mecanismo separado. Apenas `join` é depreciação de símbolo de topo (ver §7).
00_nucleo/prompts/entities/tiling.md	7	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**ADRs**: ADR-0017 (enum fechado; variant novo exige tipo migrado), ADR-0107 (paridade linguagem), ADR-0029 (pureza L1), ADR-0054 (graded scope-out).
00_nucleo/prompts/entities/tiling.md	73	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- `TilingBody::Gradient` é **placeholder** — o tipo `Gradient` existe (P262) mas o consumer real de Tiling+Gradient é scope-out ADR-0054. O variant existe para paridade futura.
00_nucleo/prompts/entities/tiling.md	85	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- `TilingBody::Image(_)` → cor preta (scope-out graded — pattern fill de imagem ainda não renderizado).
00_nucleo/prompts/entities/tiling.md	87	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## 5. Scope-out
00_nucleo/prompts/entities/tiling.md	90	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- Render PDF de pattern fill — scope-out ADR-0054 graded.
00_nucleo/prompts/entities/tiling.md	91	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- `TilingBody::Gradient` consumer real — scope-out.
00_nucleo/prompts/entities/tiling.md	92	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- `TilingBody::Image` consumer real — scope-out.
00_nucleo/prompts/compiler/math/layout/attach.md	216	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	P944 relatório §8.3 item 6) fica para passo dedicado — scope-out registado.
00_nucleo/prompts/compiler/math/layout/attach.md	239	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	`max(rise/drop, …)` (scope-out de P944 §4, aqui fechado). Valores reais
00_nucleo/prompts/infra/export/stream.md	95	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	### `y_offset` — scope-out confirmado
00_nucleo/prompts/infra/export/stream.md	98	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	`y_offset != 0`. Scope-out declarado — não implementado em P486.
00_nucleo/prompts/compiler/layout/table.md	68	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## Scope-out
00_nucleo/prompts/compiler/stdlib/transforms.md	48	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**Limitações / scope-outs**:
00_nucleo/prompts/compiler/stdlib/transforms.md	49	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- `origin` scope-out (paridade vanilla).
00_nucleo/prompts/compiler/stdlib/transforms.md	76	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**Limitações / scope-outs**:
00_nucleo/prompts/compiler/stdlib/transforms.md	77	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- `origin` scope-out (paridade vanilla).
00_nucleo/prompts/compiler/stdlib/transforms.md	102	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**Limitações / scope-outs**:
00_nucleo/prompts/compiler/stdlib/transforms.md	103	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- `origin` scope-out (paridade vanilla).
00_nucleo/prompts/compiler/stdlib/transforms.md	129	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**Limitações / scope-outs**:
00_nucleo/prompts/compiler/stdlib/transforms.md	130	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- `origin` scope-out (paridade vanilla).
00_nucleo/prompts/infra/export/render.md	32	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	/// Renderiza uma página para uma imagem PNG (texto sem fontes resolvidas → scope-out/tofu).
00_nucleo/prompts/entities/tag.md	131	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- Vanilla `TagFlags` (struct com 2 bools): scope-out em P161. Não há tagged-PDF nem distinção introspectable/non-introspectable porque todos os elementos no enum cristalino `ElementKind` são introspectable.
00_nucleo/prompts/entities/tag.md	132	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- Vanilla `TagElem` (`#[elem]` wrapper): scope-out — cristalino não usa vtable elements; tags fluem como `Vec<Tag>` do walk para o consumer.
00_nucleo/prompts/entities/tag.md	135	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	Ver `00_nucleo/diagnosticos/inventario-tipos-introspection-vanilla.md` (2026-04-30) §3 para classificação de `TagFlags` (concept needed; forma vanilla aplicável quando relevante) e `TagElem` (vtable — scope-out).
00_nucleo/prompts/compiler/stdlib/shapes.md	61	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**Limitações / scope-outs**:
00_nucleo/prompts/compiler/stdlib/shapes.md	62	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- `stroke` só aceita cor sólida; espessura/overhang/dash scope-out.
00_nucleo/prompts/compiler/stdlib/shapes.md	86	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**Limitações / scope-outs**: Idênticas a `rect`.
00_nucleo/prompts/compiler/stdlib/shapes.md	110	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**Limitações / scope-outs**: Idênticas a `rect`.
00_nucleo/prompts/compiler/stdlib/shapes.md	131	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	`end` ou com `length`/`angle`. **Scope-out medido**: `start` ≠ `(0,0)` —
00_nucleo/prompts/compiler/stdlib/shapes.md	133	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	corrente); erro explícito de scope-out em vez de desenhar deslocada para a origem.
00_nucleo/prompts/compiler/stdlib/shapes.md	138	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	`Ratio` (`length: 100%`) — **scope-out**: o native não tem a região para
00_nucleo/prompts/compiler/stdlib/shapes.md	157	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**Limitações / scope-outs**: Stroke sólido 1pt; espessura/overhang scope-out.
00_nucleo/prompts/compiler/stdlib/shapes.md	158	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	`length:` como `Ratio` (percentagem) — scope-out (P804, sem região no native).
00_nucleo/prompts/compiler/stdlib/shapes.md	159	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	`start` ≠ `(0,0)` — scope-out (acima).
00_nucleo/prompts/compiler/stdlib/shapes.md	168	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	line(start: (10pt, 0pt), end: (50pt, 50pt)) -> Err scope-out  (P739B)
00_nucleo/prompts/compiler/stdlib/shapes.md	200	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**Limitações / scope-outs**:
00_nucleo/prompts/compiler/stdlib/shapes.md	201	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- Vértices com componente `em` ou `Ratio` (`50%`): scope-out — o vanilla
00_nucleo/prompts/compiler/stdlib/shapes.md	206	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	scope-out, não a mensagem vanilla.
00_nucleo/prompts/compiler/stdlib/shapes.md	207	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- **P741 — scope-out reforçado, com custo medido.** A sonda confirmou a
00_nucleo/prompts/compiler/stdlib/shapes.md	215	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	scope-out. Custo da paridade completa (medido, não estimado): (1)
00_nucleo/prompts/compiler/stdlib/shapes.md	279	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**Limitações / scope-outs**:
00_nucleo/prompts/compiler/stdlib/shapes.md	355	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**Scope-outs explícitos**:
00_nucleo/prompts/compiler/layout/bib_csl.md	55	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	>   A ausência de `Full` é **scope-out declarado** em `entities/citation_form.md`
00_nucleo/prompts/compiler/layout/bib_csl.md	81	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## Scope-out
00_nucleo/prompts/compiler/layout/list_item.md	100	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	visual de alinhamento do marker é scope-out.
00_nucleo/prompts/compiler/layout/list_item.md	114	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## Scope-outs explícitos
00_nucleo/prompts/compiler/stdlib/context.md	124	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## 7. Scope-outs
00_nucleo/prompts/compiler/stdlib/context.md	126	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- `context` com acesso a métricas de layout (`measure`, posições de página) — scope-out; este prompt cobre apenas runtime state.
00_nucleo/prompts/compiler/stdlib/gradients.md	70	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**Limitações / scope-outs**:
00_nucleo/prompts/compiler/stdlib/gradients.md	73	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- `tiling(gradient)` é rejeitado em `visualize.rs` (scope-out ADR-0054).
00_nucleo/prompts/compiler/stdlib/gradients.md	114	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**Limitações / scope-outs**:
00_nucleo/prompts/compiler/stdlib/gradients.md	148	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**Limitações / scope-outs**:
00_nucleo/prompts/compiler/layout/heading.md	77	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## Scope-outs
00_nucleo/prompts/compiler/layout/equation.md	61	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- Scope-out P813: o colapso `max(prev.below, above)` entre blocos
00_nucleo/prompts/compiler/layout/equation.md	185	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- **Numeração**: quando infinito, o número da equação **não é posicionado** (scope-out deliberado —
00_nucleo/prompts/compiler/layout/equation.md	261	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**Scope-out** (medidos em P944, registados para passo dedicado — não corrigidos aqui):
00_nucleo/prompts/compiler/layout/equation.md	367	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	mesma fórmula do fixup de centragem P896). **Revoga o scope-out de P813**
00_nucleo/prompts/entities/symbol.md	162	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## 11. Scope-out
00_nucleo/prompts/compiler/stdlib/state.md	153	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## 7. Scope-outs
00_nucleo/prompts/compiler/stdlib/state.md	156	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- Estados locais a um scope (vanilla permite state local em show-rules) — scope-out; este prompt cobre apenas estado documental global por key.
00_nucleo/prompts/compiler/eval/operators/ordering.md	69	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- Scope-out medido: ordenação `Ratio ↔ Relative` (`ops.rs:492,494`) — sem
00_nucleo/prompts/infra/export/builder.md	634	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	Escopo: `QuadPoints` multi-linha e escaping avançado de nomes são scope-out.
00_nucleo/prompts/compiler/layout/link.md	34	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## Scope-out
00_nucleo/prompts/compiler/layout/link.md	58	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	"> **Aparência por defeito — o ""scope-out"" anterior era, afinal, paridade.**"
00_nucleo/prompts/compiler/layout/link.md	60	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	"> A lista de scope-outs deste L0 incluía *""Cor azul / sublinhado — aguarda"
00_nucleo/prompts/compiler/stdlib/collections.md	315	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## 6. Scope-outs
00_nucleo/prompts/compiler/introspect/locatable.md	130	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	vtable-driven (scope-out cristalino).
00_nucleo/prompts/compiler/eval/operators/arithmetic.md	91	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	`Decimal ↔ Int`): sem consumidor medido; scope-out explícito.
00_nucleo/prompts/compiler/eval/operators/arithmetic.md	92	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- Scope-outs medidos (não reabrir sem medição nova): divisões mistas
00_nucleo/prompts/compiler/layout/enum_item.md	141	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## Scope-outs explícitos
00_nucleo/prompts/compiler/stdlib/structural/footnote.md	43	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- **Qualquer outro nomeado** → erro que cita o scope-out graded (ADR-0054), não
00_nucleo/prompts/compiler/stdlib/structural/footnote.md	63	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	#footnote(zz: 1)[x]            → Err citando o scope-out graded (ADR-0054)
00_nucleo/prompts/compiler/introspect/extract_payload.md	99	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	Ver `00_nucleo/diagnosticos/inventario-tipos-introspection-vanilla.md` (2026-04-30) §3 para classificação de marker traits vanilla como vtable-driven (scope-out cristalino).
00_nucleo/prompts/compiler/stdlib/html.md	56	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- `html.frame` e tags tipadas continuam ausentes e declaradas como scope-out.
00_nucleo/prompts/entities/state_update.md	94	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	"> agrava o scope-out face à estimativa ""`Set` cobre 80% dos casos""."
00_nucleo/prompts/entities/state_update.md	97	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	> sustente, e a documentação empurra os utilizadores para a forma que falta. O scope-out
00_nucleo/prompts/compiler/stdlib/counter.md	206	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## 7. Scope-outs
00_nucleo/prompts/compiler/stdlib/color.md	37	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	(scope-out; também ausentes como métodos de instância).
00_nucleo/prompts/compiler/stdlib/color.md	42	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	"P476 — fecho parcial ADR-0083 §""Operadores cor"" scope-out:"
00_nucleo/prompts/compiler/stdlib/color.md	43	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	4 dos 6 operadores implementados (`saturate`/`desaturate` scope-out futuro P477).
00_nucleo/prompts/compiler/stdlib/color.md	297	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	### Scope-outs P742/P744 (medidos, com erro explícito)
00_nucleo/prompts/compiler/stdlib/color.md	303	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	## Scope-out
00_nucleo/prompts/compiler/stdlib/color.md	305	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- `color.mix` com N > 2 cores — scope-out (cristalino aceita 2 + weight).
00_nucleo/prompts/compiler/stdlib/color.md	306	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- `color.saturate/desaturate` com `space:` arg — scope-out (não suportado no vanilla).
00_nucleo/prompts/compiler/stdlib/color.md	314	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	- `mix` variádico com pesos — scope-out (acima).
00_nucleo/prompts/entities/state_registry.md	173	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	> **Consequência para o scope-out**: a convergência iterativa **é superfície de linguagem
00_nucleo/prompts/entities/state_registry.md	177	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	> legítimo como scope-out declarado, mas fica registado com essa natureza e não como
00_nucleo/prompts/compiler/stdlib/loading.md	8	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**ADRs**: ADR-0029 (pureza L1 / zero I/O — a razão da separação decode/leitura), ADR-0107 (paridade é com a língua — paridade = `Value` de saída, não a árvore interna do parser), ADR-0054 (perfil graded — subset por formato documentado), ADR-0111 (autorização de crates de parsing, PROPOSTO neste passo), ADR-0017 (não adicionar variant `Value` sem ADR + tipo migrado — base do scope-out de `Value::Bytes`).
00_nucleo/prompts/compiler/stdlib/loading.md	128	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	Scope-out explícito: nenhum consumidor real medido (`cetz`, único motivador
00_nucleo/prompts/compiler/stdlib/loading.md	146	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	"A ""heurística UTF-8 com fallback silencioso para Bytes"" que este L0 descrevia **não corresponde ao vanilla medido** (refutada em P810 §11, reconfirmada em P824) e foi removida do código e deste L0. Encoding detection sofisticado (BOM, ISO, etc.) permanece scope-out ADR-0054 graded — e é também scope-out do próprio vanilla (que só conhece `utf8`)."
00_nucleo/prompts/compiler/stdlib/text/smartquote.md	50	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**Scope-out com erro educacional** (ADR-0054 graded): `alternative` (aspas alternativas
00_nucleo/prompts/compiler/stdlib/text/smartquote.md	51	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	DE/FR) e `quotes` (`Smart<SmartQuoteDict>`) respondem com mensagem que cita o scope-out —
00_nucleo/prompts/compiler/stdlib/text/smartquote.md	52	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	"literalmente `""smartquote({key}:) não suportado neste passo (P287 §A.2 scope-out /"
00_nucleo/prompts/compiler/stdlib/text/smartquote.md	79	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	#smartquote(alternative: true)         → Err com a mensagem de scope-out literal (acima)
00_nucleo/prompts/compiler/stdlib/text/smartquote.md	80	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	"#smartquote(quotes: ""()"")              → Err com a mensagem de scope-out literal (acima)"
00_nucleo/prompts/compiler/stdlib/assert.md	44	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	**Limitações / scope-outs**:
00_nucleo/prompts/compiler/stdlib/emoji.md	28	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	Continuam scope-out para passos medidos posteriores:
00_nucleo/prompts/compiler/stdlib/foundations/datetime.md	86	UNRESOLVED	HARNESS-GAP	not individually probed in P1210	sem scope-out L0 nomeado.
