attack_id	axis	mutation_semantically_negative	abstract_fixture	witness_expected_by_frozen_contract	expected_contract_verdict	contract_ids	validity_and_refutation
A11	relative	Collapse relative=self and relative=parent into a single boolean or one unconditional anchoring policy.	Paired self and parent fixtures over siblings with distinct local origins.	Self and parent exhibit their distinct anchoring obligations whenever a phase landmark is representable.	FAIL	C06,C07	A mere url-presence boolean cannot refute this attack.
A12	alpha	Replace a non-unit-alpha tile color with the same opaque RGB.	Color body with alpha=0.25; explicit size; composite over two known backgrounds.	Composited colors on both backgrounds agree with preservation of alpha within declared renderer quantization tolerance.	FAIL	C08	Refuted by compositing behavior, not by color-string equality; unavailable extraction/rendering is Unknown.
A13	alpha	Apply the body's alpha twice, once inside the tile and once to the painted role.	Color body with alpha=0.5; explicit size; two known backgrounds.	The repeated tile preserves body alpha exactly once and independently of geometry.	FAIL	C08,C11	Valid even if emitted syntax differs; refuted by semantic compositing within tolerance.
A14	fill-stroke	Attach a fill tiling only to stroke, leaving fill solid, absent, or fallback.	Eligible color tiling; role=fill; control stroke declared independently.	Only fill references the resolved tiling pattern; stroke remains the control paint or absent.	FAIL	C09,C01	A fallback annotation on fill yields Unknown, not PASS; unrelated url on stroke is insufficient.
A15	fill-stroke	Attach a stroke tiling only to fill, leaving stroke solid, absent, or fallback.	Eligible color tiling; role=stroke; control fill declared independently.	Only stroke references the tiling pattern and its visible repeated paint follows stroke geometry; fill remains control/absent.	FAIL	C10,C01	If the public pipeline cannot transport tiling as stroke, CONTRACT-GAP; a boolean some-url check cannot refute it.
A16	transform	Apply the painted element transform twice to the pattern phase while applying geometry once.	Eligible color tiling; non-identity element transform; absent offset and angle; phase landmark when representable.	Geometry and pattern each experience the item transform exactly once at matched coordinates.	FAIL	C11	Without a phase landmark the witness is Unknown; exact matrix spelling/order is excluded.
A17	transform	Apply an extra nonzero translation or rotation when offset and angle are absent.	Eligible color tiling; identity item transform; absent offset and angle.	Default absent offset and angle introduce zero phase shift and zero rotation.	FAIL	C11,C16	Nonzero public offset/angle themselves remain CONTRACT-GAP; this attack concerns only the observable defaults.
A18	fallback	Silently reduce an otherwise eligible explicit-size color tiling to a solid color with no fallback diagnostic.	Color body; valid explicit size/spacing/relative; either fill or stroke role.	Eligible color tiling retains resolved repeated pattern morphology; unannotated solid reduction is rejection evidence.	FAIL	C19,C01,C09,C10	Matching RGB cannot refute loss of the server; mechanics such as element count are irrelevant.
A19	fallback	Treat a role carrying data-crystalline-fill-fallback or data-crystalline-stroke-fallback as preserved tiling.	Any fixture with the role-specific fallback annotation.	The affected role is classified Unknown, never PASS, regardless of a color or url elsewhere.	Unknown	C19,C00	Valid policy mutation; refuted by preserving Unknown exactly for the annotated role.
A20	constructor	Promote successful construction alone to SVG parity without recovering body variant, size, spacing, and relative.	Opaque successfully constructed value or parser result lacking one required field.	Construction is eligibility evidence only; missing recoverable public information cannot establish SVG equivalence.	Unknown	C20,C00	If a variant is explicitly scope-out/rejected, the expected verdict is CONTRACT-GAP instead.
A21	constructor	Invent unit tile geometry for size=auto with a flat color body.	TilingBody::Color; size=None/auto.	No finite nonzero intrinsic size is derivable from flat color morphology; arbitrary unit size cannot promote the case.	CONTRACT-GAP	C12,C20	Valid boundary mutation; successful compilation or painted bbox does not refute it.
A22	constructor	Accept zero, infinite, or axis-invalid explicit tile size as an eligible parity fixture and normalize it silently.	Explicit size with zero or non-finite component.	Eligibility requires positive finite nonzero explicit size with axes preserved; invalid construction cannot yield a positive equivalence claim.	FAIL	C03,C12,C20	The negative input is valid as an attack on validation/promotion, not as a valid tiling fixture; refuted by rejection without parity promotion.
A23	opaque-image	Replace an Image body lacking decodable content or intrinsic/explicit geometry with a black or sampled-color pattern and call it equivalent.	TilingBody::Image with one required public datum unavailable.	Image morphology is outside the current provable universe; missing content/geometry is CONTRACT-GAP, and a black/color surrogate is never equivalence.	CONTRACT-GAP	C13,C19,C20	Opaque case; preserves gap rather than guessing from constructor success.
A24	opaque-gradient	Replace a rejected/placeholder Gradient body by its first stop and call the repeated solid pattern equivalent.	TilingBody::Gradient presented through an opaque or rejected constructor route.	Gradient tiling remains CONTRACT-GAP until the existing constructor and model retain the gradient server, role, and alpha.	CONTRACT-GAP	C14,C19,C20	Opaque case; first-stop resemblance cannot refute loss of gradient morphology.
A25	opaque-content	Encode arbitrary Content into an existing color/image/body slot or infer a tile from debug/display text.	Arbitrary content cell not representable by current TilingBody.	No parity claim is made; arbitrary cell content is always CONTRACT-GAP without separately authorized public-contract change.	CONTRACT-GAP	C15,C20	Valid attack on illicit model expansion; no abstract candidate may invent fields to pass it.
A26	opaque-offset-angle	Smuggle nonzero offset or angle through size, spacing, relative, body, or item transform and report support.	Requested nonzero offset or angle absent from the current public model.	Nonzero displacement/rotation is CONTRACT-GAP; only absent fields meaning zero are testable.	CONTRACT-GAP	C16,C11,C20	Opaque boundary case; an indirect encoding cannot refute the missing public contract.
A27	repetition	Render exactly one tile stretched over the painted geometry while retaining a pattern-like wrapper.	Eligible explicit-size color tiling with boundary landmark when representable; painted area spans multiple periods.	Within painted geometry the pattern repeats with the declared pitch and does not create paint outside that geometry.	FAIL	C17,C03	Uniform body makes repetition count Unknown; lack of representable landmark is CONTRACT-GAP.
A28	mechanics-opaque	Reject or promote solely because IDs, defs order, href versus duplication, XML bytes, transform text, dedup key, or render-pass count differ.	Two semantically equivalent encodings differing only in excluded mechanics, or two semantically different encodings sharing superficial mechanics.	The verdict follows graph resolution and language-level morphology; mechanics-only evidence yields Unknown.	Unknown	C18,C00	Meta-attack ensures no mechanical oracle substitutes for semantic witnesses.
