attack_id	kind	validity	expected	adjudicated	clause	runner_exit	materialized_after_equal	materialized_sha256	mutation_denominator	killed	witness	status
A12-interiors-64	negative	valid-negative	Violated	Violated	G10;O06;O07	0	true	f4707655cd91ad86ff8e08cd6c82ffadfb465d3aef77082c3eb394d05871e4c0	included	true	a_i 64 exceeds 63 and E exceeds M plus 63R	Preserved
A13-midpoints-128	negative	valid-negative	Violated	Violated	G10;O06;O08	0	true	fd3c58b66112f83c08cc6cab37fc3f5123bbf72e81595e5e4b0aa56cab72bea1	included	true	d_i 128 exceeds limit 127	Preserved
A14-boundaries-127	negative	valid-negative	Violated	Violated	G10;O06;O08	0	true	1729372eebff81c20990f2b664bcc261aeea3dc725f0840511e2efad1970ba52	included	true	b_i 127 exceeds limit 126	Preserved
A15-sampler-254	negative	valid-negative	Violated	Violated	G10;O06;O08	0	true	89fc27ef4d3331507728bdcea67b78fa7cd082dbc6fa1cb75b32d3417e6444b5	included	true	q_i 254 exceeds 253 and differs from d_i plus b_i	Preserved
A16-logical-used-as-M	negative	valid-negative	Violated	Violated	G10;G10H;O07;O07H	0	true	00564a5a2dbbe4a064f33cb7f6a273e62abd4aa9f42bf498d7a6f3dd36a06ae3	included	true	M 2 differs from effective_public_stops 3	Preserved
A17-affine-expansion-overrun	negative	valid-negative	Violated	Violated	G10;O07	0	true	794f497a6b4689a429b5dbb692b61504126f5fb67e782036ec20789b4c38f662	included	true	E 130 differs from M plus sum a_i 129 and exceeds M plus 63R	Preserved
A18-erase-s20-stroke	negative	valid-negative	Violated	Violated	G06;G07A;O09	0	true	0e970526f57fa25bdc863a8886b5091f39ff1b07cbbceadd5f6808454518d63b	included	true	S20 positive stroke support is erased	Preserved
A19-paint-s21-fill	negative	valid-negative	Violated	Violated	G07B;O10	0	true	ac1f80ba4e1f2bae8c1986344846112c49e6104aa6be993232c6e421df28d3e7	included	true	S21 zero-height fill gains positive-area paint	Preserved
A20-break-url	negative	valid-negative	Violated	Violated	G03;O11	0	true	ec7b5ebf6416b54460cd493a220364665957c5199865382770412b9f5d10e28d	included	true	paint URL points to a missing local target	Preserved
A21-break-graph-role	negative	valid-negative	Violated	Violated	G03;G07A;O11	0	true	84c9ba65f0d551633095be4bbd05e2cd41a3b4fc8ac4b089bb441b5b33193d80	included	true	server role changes and graph closure is lost	Preserved
A22-break-geometry	negative	valid-negative	Violated	Violated	G03;G09;O11	0	true	590d9dd238b4872b6c3f5d19f49735cde269d2b7cc423b99fb58f1442e1d23d0	included	true	radial focal changes and transform count doubles	Preserved
A23-unknown-promoted	protocol-negative	valid-negative	Violated	Violated	G12;G14;O12;unknown-policy	0	true	86eda6ee4a3a85acb99463d9e21e22027e40c1ba98498127ea524f5f66464910	included	true	Unknown is converted to success without resolving opacity	Preserved
A24-order-dependent	protocol-negative	valid-negative	Violated	Violated	G12;G13;O12	0	true	62ace3a994bb666695b8c04ab8c87f2760dc424b1626473ccfad7b05304d501e	included	true	direct and inverse semantic digests and stop order differ	Preserved
A25-repeat-dependent	protocol-negative	valid-negative	Violated	Violated	G10;G12;G13;O08;O12	0	true	6a34b0e297f3cbd47ebf1f2e3c11232a1e5749f87f41de1acff3e4d2ac0db0ee	included	true	repeat changes semantic digest and emitted count	Preserved
