id	surface	vanilla_paths	crystalline_paths	state	observable	vanilla_evidence	crystalline_evidence	l0_owner	dependency	inference	what_would_refute	implementation_gate	next_step
bytes-identity	language/bytes	typst_library::foundations::bytes::Bytes	typst_core::entities::bytes::Bytes	PARTIAL	language bytes value and methods	lab/typst-original/crates/typst-library/src/foundations/bytes.rs	01_core/src/entities/bytes.rs	entities/bytes.md	bytes methods	world_types::Bytes is transport only; language type maps to entities::bytes; at/len/slice are absent	a current probe where all three methods match	continuous-parity	implement bytes methods
eval-entrypoint	language/eval	typst_eval::eval	typst_core::compiler::eval::eval	COVERED	top-level evaluation responsibility	lab/typst-original/crates/typst-eval/src/lib.rs	01_core/src/compiler/eval/mod.rs	compiler/eval.md	eval engine	direct engine entrypoint maps one-to-one	a focal program whose top-level evaluation differs	none	add explicit map relation
eval-language-function	language/eval	typst_library::foundations::eval#1	typst_core::compiler::stdlib::eval::native_eval	COVERED	eval(source mode scope) public function	lab/typst-original/crates/typst-library/src/foundations/mod.rs	01_core/src/compiler/stdlib/eval.rs	compiler/stdlib/eval.md	stdlib eval	separate from engine entrypoint and focal eval("1 + 2") matches	a named/default/scope probe that diverges	continuous-parity	add explicit map relation
bytes-methods	language/bytes	typst_library::foundations::bytes::{at,len,slice}	typst_core::compiler::eval::bindings::value_methods	MISSING	method result and error semantics	P1213 probes bytes.*	P1213 probes bytes.*	compiler/eval/bindings/value_methods.md	bytes method dispatch	constructor exists but three public methods return no-method errors	a current crystalline binary returning vanilla results	continuous-parity	first small implementation cluster
yaml-eval	cli/product	typst_cli::eval YAML serialization	typst_shell::cli eval	PRODUCT-GAP	--format yaml stdout	P1213 probe eval YAML	P1213 probe eval YAML	shell/cli.md	serializer and CLI enum	vanilla emits YAML; crystalline rejects the enum value	a current crystalline binary accepting YAML with equivalent value	ADR0127-GATE	decide public format contract then implement
pdf-attach	pdf/product	typst_library::pdf::attach + typst_pdf attachment export	typst_core::compiler::stdlib::pdf::native_pdf_attach	PRODUCT-GAP	attachment entity and embedded PDF file	P1213 probe pdf.attach	P1213 probe pdf.attach	compiler/stdlib/pdf.md	PDF embedded-files exporter	vanilla constructs attachment; crystalline returns explicit scope-out	a produced PDF containing equivalent attachment	ADR0127-GATE	open PDF attachment cluster
smartquote-alternative	language/text	typst_library smartquote alternative	typst_core::compiler::stdlib::text::smartquote	MISSING	accepted argument and quote selection	P1213 probe smartquote(alternative: true)	P1213 probe smartquote(alternative: true)	compiler/stdlib/text/smartquote.md	locale-aware quotes	vanilla constructs value; crystalline returns scope-out	a current probe with equivalent value and render	continuous-parity	open smartquote configuration cluster
smartquote-quotes	language/text	typst_library smartquote quotes	typst_core::compiler::stdlib::text::smartquote	MISSING	custom quote dictionary	P1213 probe smartquote(quotes: "()")	P1213 probe smartquote(quotes: "()")	compiler/stdlib/text/smartquote.md	quote dictionary cast	vanilla constructs quote tuple; crystalline returns scope-out	a current probe with equivalent value and render	continuous-parity	same smartquote cluster
rotate-origin	language/layout	typst_library rotate origin	typst_core::compiler::stdlib::transforms	PARTIAL	origin-dependent transform morphology	P1213 probe rotate(origin: center)	P1213 probe rotate(origin: center)	compiler/stdlib/transforms.md	transform origin resolution	vanilla preserves origin; crystalline repr erases it into generic transform	a layout probe proving same geometry for non-central asymmetric body	continuous-parity	open transform-origin cluster
line-start	language/layout	typst_library line start	typst_core::compiler::stdlib::shapes	MISSING	nonzero start geometry	P1213 probe line(start,end)	P1213 probe line(start,end)	compiler/stdlib/shapes.md	shape coordinate model	vanilla constructs line; crystalline returns explicit scope-out	a current layout probe with equivalent geometry	continuous-parity	open line coordinate cluster
color-mix-variadic	language/color	typst_library color.mix variadic	typst_core::compiler::stdlib::foundations::color	MISSING	N-color mix result	P1213 probe color.mix(red,green,blue)	P1213 probe color.mix(red,green,blue)	compiler/stdlib/color.md	color mixing	vanilla returns oklab color; crystalline requires exactly two positional args	a current probe with equal color for three or more inputs	continuous-parity	open variadic color.mix cluster
color-methods-stale-scopeout	language/color	typst_library Color methods	typst_core::compiler::stdlib::foundations::color	COVERED	components space rotate saturate results	P1213 repr probes	P1213 repr probes	compiler/stdlib/color.md	method dispatch	old absence language is stale; five focal values match	a focal method result that differs	none	update stale diagnostic in future documentation step

