case	observable	population	preserved	violated	unknown	source	classification	counts_as_success	mutation_numerator	effect	resolution_required
global-stop-count-over-64	global emitted count	96 valid fixtures	no adjudication follows from E>64 alone	E>64 alone called a G10 violation	M/R or interval traces unavailable	G10;p1267r2-verifier-verdict.tsv:V06-V09	Not-a-violation	false	not-a-mutant	global bound depends on M and R	apply E<=M+63R plus every interval-local bound
s20-painted-support-ambiguous	S20 stroke-support morphology	S20 x 4 pairs	independent baseline/candidate support masks and closed graph established	positive area alone substituted for morphology or forced zero paint	stroke support or local mask ambiguous	G07A;P1266 report:43-46	Unknown	false	excluded	blocks S20	compare independently derived stroke-support morphology and graph
s21-zero-fill-support-ambiguous	S21 zero-fill support	S21 x 4 pairs	no positive-area fill plus closed/correct graph established	absence of raster node alone treated as proof	zero fill support or graph ownership ambiguous	G07B;P1266 report:43-46	Unknown	false	excluded	blocks S21	prove no positive-area fill and closed/correct graph
unsupported-control-space	fallback policy outside promotion denominator	unsupported control spaces	explicit fallback marker retained	unsupported space promoted or denominator expanded silently	control-space semantics unavailable	G11;P1266 certificate	Unknown-control	false	excluded	proves fallback policy only;outside four promotion denominators	keep explicit fallback marker
invalid-public-input	domain rejection semantics	applicable I01-I08	invalid input rejected equivalently	invalid accepted or wrong public rejection semantics	diagnostic identity ambiguous only when parser result cannot be matched	G02;p1266 matrix:I01-I08	Rejected-by-domain	false	not-a-mutant	must be rejected;never classified Preserved	compare rejection semantics
valid-positive	all applicable v3 obligations	valid P1268 positive case	all applicable clauses pass under frozen independent oracle	one or more clause fails	any required observable opaque	G12;skill artefatos-e-gates.md	Preserved	true	n/a	eligible only after independent gate and seal	retain full witness set
valid-negative	one or more v3 obligations	valid semantic negative case	not applicable as success	one or more obligation fails with deterministic witness	witness cannot be adjudicated	G12;skill artefatos-e-gates.md	Violated	false	n/a	must remain a failure witness	retain witness
executed-negative-mutant	mutation rejection	all executable valid mutants	mutant rejected as Violated with witness	mutant survives the contract	mutant result opaque	p1268 step:Gates;G12	REJECTED	false	included	counts only when executable,valid and demonstrably killed	retain deterministic witness
non-executable-proposal	mutation executability	proposed attacks	proposal made executable before counting	non-executable proposal counted in score	proposal cannot execute	p1267r2-author-unknown-v2.tsv	NOT-COUNTED	false	excluded	cannot contribute to mutation score	make executable or exclude with reason
historical-p1266-result	immutable P1266 identity	all P1266 rows and certificate	history retained byte-identically without promotion	historical row/certificate rewritten or reclassified	protected identity mismatch	p1266-final-certificate.tsv sha256:dce8aabec0d6bbf8b714d75f8cfc22e38f83539d04f1c8d034110c8dfa1067ec	Immutable-history	false	excluded	logical=904,effective M=1320,E=11188,bound=78432 and zero derived failures remain measurements,not success	produce new P1268 results under sealed v3 identities
v3-pre-oracle-pair	current phase status	four pair candidates	no pair is promoted before complete P1268 gate	early Preserved,promotion or seal by contract author	pair remains Unknown-generalization pending independent evidence	G12;G14;typst-passo-1268.md	Unknown-generalization	false	excluded	contract is unsealed and no pair may pass in this phase	independent oracle,attacks,score 1.0,repetition and verifier seal
