id	scope	fixture_or_domain	execution_gate	observable	acceptance	rejection	unknown_or_gap_policy	source_basis
C10	conditional role	color tiling as fill	C02 holds and the fill role reaches an SVG paint observable.	fill versus stroke role	Only fill resolves to the tiling pattern; stroke remains its declared control or absent.	Pattern solely on stroke, loss of fill reference, or unannotated solid reduction is FAIL.	No SVG or unresolved role is Unknown. A role-specific fallback annotation is Unknown, never PASS.	SVG L0 P1227; vanilla paint.rs:31-51; verifier O01,A14,A19
C11	contract-boundary	color tiling as stroke O04	The existing public pipeline and frozen fixture must transport tiling paint in stroke position.	stroke paint role	No positive claim exists in v3.	A surrogate fill, boolean any-url check, or public-contract expansion cannot promote this row.	CONTRACT-GAP: the frozen crystalline fixture cannot form the tiling stroke, and P1243 authorizes no carrier/API change.	typst-passo-1243.md; SVG L0 P1227; verifier O04,A15
C12	conditional semantics	relative=self with two uses O05	C02 holds and an already represented phase landmark is visible at matched local coordinates.	self-relative anchoring and phase	Each use is anchored to its painted element and can be distinguished at matched local coordinates.	A proved shared parent phase where local phases should differ is FAIL.	Uniform color and the frozen failed probes expose no phase landmark; verdict is Unknown, not PASS.	entities/tiling L0 relative; vanilla tiling.rs:360-377; verifier O05,A09
C13	contract-boundary	relative=parent O06	Parent identity and geometry must reach the current observable pipeline without new public fields.	parent-relative continuity	No positive claim exists in v3.	Treating stored Parent as equivalent to self, or reducing the role to presence of any URL, cannot promote the row.	CONTRACT-GAP: the constructor L0 stores Parent but explicitly gives it the same consumer as self; the frozen probes provide no parent-relative SVG witness.	tiling-stdlib L0 section 6; vanilla tiling.rs:200-229,360-369; verifier O06,A10,A11
C14	conditional morphology	item transform with implicit zero offset and angle	C02 holds and a represented phase landmark permits application-count measurement.	transform application count and zero default phase	Geometry and pattern are transformed exactly once; absent offset/angle add no displacement or rotation.	A proved double application or nonzero implicit offset/angle is FAIL.	Exact matrix text is mechanical; without a landmark the verdict is Unknown. The frozen color evidence cannot distinguish these mutations.	vanilla tiling.rs:372-377; vanilla paint.rs:87-114; verifier A16,A17
C15	contract-boundary	size=auto/None on flat color O07	A finite nonzero intrinsic tile size must already be derivable from represented body morphology.	resolved tile size	No positive claim exists for flat color in v3.	Arbitrary unit size, painted bbox, compilation, or generic fallback cannot promote this row.	CONTRACT-GAP: flat color has no intrinsic geometry in the public body.	entities/tiling L0 size rule; vanilla tiling.rs:278-303; verifier O07,A21
C16	contract-boundary	TilingBody::Image O08	Existing public data must supply decodable image content and resolved tile geometry and the real consumer must be in scope.	repeated image morphology	No positive claim exists in v3.	Black/color substitution, successful construction, or invented image bytes cannot promote this row.	CONTRACT-GAP: the real Image consumer is L0 scope-out and the frozen fixture lacks image bytes.	entities/tiling L0 sections 3-5; verifier O08,A23
C17	contract-boundary	TilingBody::Gradient O09	The existing constructor must accept the gradient body and retain it in the tile.	repeated gradient morphology	No positive claim exists in v3.	First-stop color, compilation, or indirect wrapping cannot promote this row.	CONTRACT-GAP: the variant is a placeholder and the current constructor L0 rejects Gradient.	entities/tiling L0 sections 3-5; tiling-stdlib L0 sections 2 and 6; verifier O09,A24
C18	contract-boundary	arbitrary Content O10	Arbitrary frame content must be representable in the current public TilingBody.	arbitrary cell morphology	No positive claim exists in v3.	Encoding content through Color, Image, Gradient, or a new variant is forbidden in this revision.	CONTRACT-GAP: vanilla accepts Content and emitted SVG, while the public crystalline enum has no arbitrary Content body.	entities/tiling L0 section 2; vanilla tiling.rs:230-232,282-316; verifier O10,A25
C19	contract-boundary	nonzero offset or angle O11	Offset and angle must exist as current public fields and constructor arguments.	grid displacement and rotation	Only their implicit zero absence is conditionally covered by C14; no nonzero positive claim exists.	Smuggling either value through size, spacing, relative, body, or item transform is FAIL.	CONTRACT-GAP for nonzero values because both fields are absent from the public crystalline model.	typst-passo-1243.md; entities/tiling L0 section 2; vanilla tiling.rs:260-276,304-315,372-377; verifier O11,A26
C20	conditional morphology	repetition and coverage	C02 holds and a represented edge/phase landmark distinguishes repeated cells from one tile.	repeat coverage inside the painted geometry	Repeated coverage without creating paint outside the geometry may PASS when observed.	A proved single-tile rendering or paint outside the target geometry is FAIL.	Uniform flat color and no frozen landmark make repetition count Unknown; no exact element count is required. A27 therefore expects Unknown in v3.	vanilla tiling.rs docs; vanilla paint.rs:341-365; verifier A27
C21	fallback-policy	all roles	The cause of a fallback is classified before considering its color.	role-specific fallback diagnostics	A fallback marker is never a positive tiling claim.	An unannotated solid reduction of an otherwise applicable conditional row is FAIL; proved malformed graph is FAIL.	Annotated fallback or opaque parser/construction is Unknown; absent public fields and explicit scope-outs are CONTRACT-GAP.	SVG L0 P1227; verifier A18-A20
C22	metamorphic-policy	repetition and reordering O12-O13	Every base observation must first have a semantic verdict backed by an observable.	determinism of semantic verdict and witness	Repeated/reordered runs may PASS only when the same resolved semantic witnesses and verdicts recur.	Reporting PASS solely because failures or output bytes repeat is FAIL.	When O01-O03 never reach SVG, their repetition and reordering remain Unknown; A28 mechanics-only evidence is Unknown.	verifier O12,O13,A28; ADR-0107 rule embodied by L0
C23	eligibility	explicit size	Size components must be finite and nonzero before any SVG promotion; spacing components must be finite.	constructor eligibility	Valid eligibility only opens later gates and is never SVG equivalence by itself.	A candidate that promotes non-positive or non-finite size to SVG equivalence is FAIL.	Parser or opaque value failures are Unknown; public-model omissions are CONTRACT-GAP.	vanilla tiling.rs:233-258; tiling-stdlib L0 extract_size; verifier A22
C24	mechanics-excluded	all observations	A language-level witness must exist.	semantic, syntactic, or morphological effect	Equivalent encodings are allowed.	No PASS or FAIL may depend solely on XML bytes, exact IDs, defs order, href spelling, transform text, dedup keys, Rust equality, element counts, or render-pass counts.	If mechanics are the only evidence, verdict is Unknown.	SVG L0 P1227; vanilla paint.rs:91-100; verifier A28
