id	kind	scope	fixture	morphological_observable	expected_result	witness
O11	negative	dangling-absent-fragment	Use O02, but serialize an internal href for missing-label while emitting no matching local node.	Closed-edge invariant for every emitted internal destination link.	Violated: a fragment is emitted whose target cannot be resolved locally, even if the link's visual child remains unchanged.	Parsing all local fragment references yields missing-label as an unresolved edge endpoint.
O12	negative	pipeline-cross-page-contamination	Use O09, but the first-page context also contains P1 or the standalone page-0 SVG emits a fragment to P1 without an explicit caller-supplied route.	Strict page-local registry and caller ownership of cross-page routing.	Violated: page-1 state contaminates the page-0 context, a false local P1 node is emitted, or the exporter invents a filename, bundle route, or fragment for P1.	The context domain differs from {P0}, or the page-0 SVG graph contains any P1 node/edge despite absence of a routing policy.
O13	positive	equal-position-distinct-labels	Page 0 admits distinct labels coincident-A and coincident-B, both measured at (25,35), and contains one internal link to each; registry enumeration is repeated in reverse order.	C05 identity allocation depends on label identity rather than position or traversal order, while equal positions remain legitimate.	Preserved: coincident-A and coincident-B receive distinct deterministic local identities and distinct semantic nodes even though both nodes map to (25,35); each edge resolves only to its own label in both enumerations.	Normalized graphs are {edge-A->node-A@(25,35), edge-B->node-B@(25,35)} in both runs, node-A identity differs from node-B identity, and reversing input order does not swap either edge.
O14	positive	duplicate-uses-one-node	Page 0 admits label shared at (60,70). Three wrappers target shared: W1 has a 4x5 red square under identity transform, W2 has two ordered children text-marker then blue circle and clickable size 11x6 under translate(20,0), and W3 has a 3x9 green bar under scale(2,1).	C13 many closed edges converge on one semantic destination node while each wrapper retains its own children, order, transform, and hit geometry.	Preserved: all three edges resolve to the single shared node at (60,70); exactly one semantic target node exists; W1, W2, and W3 retain their distinguishable morphology independently.	Graph indegree(shared-node)=3 and semantic target-node count(shared)=1; witnesses remain W1 red 4x5, W2 ordered [text-marker,blue-circle] with 11x6 hit area translated once, and W3 green 3x9 bar scaled once. Sharing any child list or hit box between wrappers refutes the oracle.
O15	negative	unauthorized-surface-inventory	Inspect the P1247 materialization boundary for a same-page link that is already carried as LinkTarget::Destination and supplied with immutable page-local L3 context; inventory public types/APIs, FrameItem variants, pipeline phases, and routing outputs before and after the candidate change.	C14 preserves the existing carrier and phase boundary without public language expansion, destination FrameItem, or bundle/cross-page authority.	Violated if P1247 adds any public label/location/page-position constructor or target contract, adds a destination-bearing FrameItem variant, moves registry state into Page, repeats eval/layout, or introduces bundle filenames/routes; the same-page success cannot excuse boundary expansion.	Negative inventory witness must remain exactly: new public link-target forms=0, new destination FrameItem variants=0, new bundle/cross-page policies=0, repeated eval/layout passes=0; authorized additions are only immutable L3 context plus explicit exporter variants and pipeline composition after PagedDocument layout.
O16	positive	partial-invalid-containment	Page 0 context input contains valid-A@(10,10), valid-B@(30,30), missing-position, nonfinite@(NaN,4), and cross-page-C@(50,50 on page 1). Page 0 has wrappers to all five labels plus an unrelated external URL.	C15 local containment: rejected entries neither perturb identity allocation nor suppress, retarget, or contaminate valid and external links.	Preserved for valid-A, valid-B, and the URL; Unknown only for missing-position, nonfinite, and cross-page-C. The valid graph remains closed and collision-free, invalid wrappers retain morphology without fragment href, and URL semantics remain unchanged.	Context domain is exactly {valid-A,valid-B}; normalized graph is edge-A->node-A@(10,10) and edge-B->node-B@(30,30), with no other local node/fragment. Repeating after deleting all three invalid inputs yields identical valid label identities, positions, wrapper morphology, and decoded external URL.
O17	positive	url-quotes-unicode	A LinkTarget::Url carries the representable semantic string https://example.test/"café/雪"?q='olá'&x=1#seção and has a 17x8 hit region, under both empty and unrelated nonempty destination contexts.	C10 URL value after XML parsing, including double quote, single quote, ampersand, accented characters, and non-ASCII path data; internal context independence.	Preserved: the parsed destination equals the exact input Unicode URL in both contexts and the 17x8 clickable morphology is unchanged; no local node is synthesized.	XML parse succeeds and attribute decoding returns exactly https://example.test/"café/雪"?q='olá'&x=1#seção. A raw unescaped quote/ampersand, lossy ASCII conversion, percent-rewrite not present in the carrier, or local fragment refutes the oracle.
O18	positive	reserved-label-identity	Page 0 admits two distinct labels: R1 is :/?#[]@!$&'()*+,;=%"<>\\ and R2 is the same sequence followed by Unicode Ω; both are at finite distinct positions and each has one link. Repeat with reversed registry order.	C05/C12 collision-free deterministic identity across the full punctuation set requiring XML/fragment-safe representation, without treating literal ID spelling as semantic.	Preserved: both parsed local identities are valid, distinct, stable by label under reorder, and each edge resolves to its own node and position; no reserved character truncates, aliases, or redirects either identity.	Normalized graph is R1->node@(14,18) and R2->node@(44,48) in both orders with two distinct resolved identities. Decoding XML must not create an extra attribute, fragment delimiter, query component, or missing endpoint.
O19	positive	multiple-wrapper-descendants	A same-page internal wrapper to label D@(90,20) contains three ordered distinguishable descendants: yellow 5x4 rectangle at (0,0), text marker X at (6,1), and blue 3x3 circle at (12,2); wrapper hit geometry is 18x7.	C11 preserves all descendants, their order and local positions, plus the independent clickable region while closing the destination edge.	Preserved: the edge resolves to D, descendants remain ordered [yellow-rect,text-X,blue-circle] at their declared local positions, and the hit region remains 18x7 without replacing or swallowing child morphology.	DOM/morphology witness finds all three distinguishable descendants in order and link-local sample (17,6) clickable; dropping first/middle/last child, reordering, flattening into the hit rectangle, or changing the hit extent refutes the oracle.
O20	positive	rotation-transform	A 10x4 internal link wrapper to label ROT@(70,15) is nested under translation (30,40) followed by a +90 degree rotation about the local origin; it contains an asymmetric arrow child pointing along local +x.	C11 transform basis and nesting: rotation applies exactly once to both visible child and hit geometry, without rotating or relocating the independently measured destination node.	Preserved: local hit corners map as (0,0)->(30,40), (10,0)->(30,50), (0,4)->(26,40), (10,4)->(26,50); the arrow points page +y; the edge resolves to the unique ROT node at (70,15).	The four oriented-corner witnesses distinguish zero, inverse, double, or transform-order mutations; target node position remains (70,15), not a rotated version of that page-local measurement.
O21	positive	explicit-font-branches	Export the same page/context twice through explicit-context variants: branch F0 without resolved fonts and branch F1 with a resolved font set. The page has a same-page link to FONT@(33,22), a 13x5 hit region, and a text descendant whose expected rendering is branch-appropriate.	Destination graph, target position, wrapper nesting, and hit morphology are invariant across both font-resolution branches; text rendering may follow each branch's established font contract.	Preserved: F0 and F1 each contain exactly one closed edge to FONT node@(33,22) and the same 13x5 hit geometry. Destination handling neither bypasses the context in one branch nor forces the text output of one font branch onto the other.	Normalize only destination graph and wrapper geometry: both equal {FONT-edge->FONT-node@(33,22), hit=13x5}. Each branch retains its own preexisting text-rendering disposition; absence of the edge/node in either branch refutes the oracle.
O22	positive	both-legacy-wrappers	For each legacy wrapper export_svg and export_svg_with_fonts, compare its output with its corresponding explicit-context variant supplied an empty SvgDestinationContext. The page contains one external URL, one unresolved internal destination, nested visible children, a nonidentity transform, and 9x6 hit regions.	C02 compatibility for both fontless and font-resolved legacy entry points across URL, unresolved-internal policy, children, transform, and clickable geometry.	Preserved for the external URL and wrapper morphology in both pairs; Unknown for the internal destination in both pairs with no fragment href. Within each pair the normalized graph/morphology is equivalent to explicit empty-context behavior.	Four-call matrix witness: legacy-fontless == normalized explicit-empty-fontless and legacy-with-fonts == normalized explicit-empty-with-fonts; each preserves the decoded URL, transformed children and 9x6 hit area, while each internal wrapper has no local href/node. Testing only one pair is insufficient.
