record_type	key	value	sha256	detail
runner-command	C0017	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.radial(red, rgb(46, 204, 64), space: color.linear-rgb, center: (50%, 50%), radius: 50%, focal-center: (50%, 50%), focal-radius: 0%); let ss = g.stops(); let mesh = range(8193).map(i => g.sample(i / 8192 * 100%).components().map(norm)); let dyadic = range(ss.len() - 1).map(i => { let a = ss.at(i).at(1); let b = ss.at(i + 1).at(1); range(129).map(k => g.sample(a + (b - a) * k / 128).components().map(norm)) }); let probes = (0%,).map(t => g.sample(t).components().map(norm)); (mesh, dyadic, probes)	806eed0ed49c6584160655c31f11362068d99e3a4bf949deb8ce2f95eb46d676	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0018	rsvg-convert --zoom 1 -o /tmp/p1268/oracle_v3/masks/S01-radial-linear-rgb.png /tmp/p1268/oracle_v3/masks/S01-radial-linear-rgb.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0019	/usr/local/bin/typst compile /repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S02-linear-oklab.typ /tmp/p1268/oracle_v3/binaries/direct/S02-linear-oklab.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0020	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.linear((rgb(38, 70, 83), 0%), (rgb(42, 157, 143), 50%), (rgb(233, 196, 106), 100%), space: color.oklab, angle: 37deg); (g.stops().map(s => (s.at(0).components().map(norm), s.at(1) / 100%)), repr(g.kind()), repr(g.space()), repr(g.angle()), repr(g.center()), repr(g.radius()), repr(g.focal-center()), repr(g.focal-radius()))	c4290759482622fee7981730d7cb5199091b952bb05a39a7da5f8545af4ec226	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0021	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.linear((rgb(38, 70, 83), 0%), (rgb(42, 157, 143), 50%), (rgb(233, 196, 106), 100%), space: color.oklab, angle: 37deg); let ss = g.stops(); let mesh = range(8193).map(i => g.sample(i / 8192 * 100%).components().map(norm)); let dyadic = range(ss.len() - 1).map(i => { let a = ss.at(i).at(1); let b = ss.at(i + 1).at(1); range(129).map(k => g.sample(a + (b - a) * k / 128).components().map(norm)) }); let probes = (0%,).map(t => g.sample(t).components().map(norm)); (mesh, dyadic, probes)	28d1f44428242710df557f7577fa4e2434cb399aad3d85dd17a5e38693826880	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0022	rsvg-convert --zoom 1 -o /tmp/p1268/oracle_v3/masks/S02-linear-oklab.png /tmp/p1268/oracle_v3/masks/S02-linear-oklab.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0023	/usr/local/bin/typst compile /repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S02-radial-oklab.typ /tmp/p1268/oracle_v3/binaries/direct/S02-radial-oklab.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0024	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.radial((rgb(38, 70, 83), 0%), (rgb(42, 157, 143), 50%), (rgb(233, 196, 106), 100%), space: color.oklab, center: (50%, 50%), radius: 60%, focal-center: (50%, 50%), focal-radius: 0%); (g.stops().map(s => (s.at(0).components().map(norm), s.at(1) / 100%)), repr(g.kind()), repr(g.space()), repr(g.angle()), repr(g.center()), repr(g.radius()), repr(g.focal-center()), repr(g.focal-radius()))	adde69b28ba28568baf70dfec88afb68e880cc1d0b417ec73688ff1f4bc52b24	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0025	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.radial((rgb(38, 70, 83), 0%), (rgb(42, 157, 143), 50%), (rgb(233, 196, 106), 100%), space: color.oklab, center: (50%, 50%), radius: 60%, focal-center: (50%, 50%), focal-radius: 0%); let ss = g.stops(); let mesh = range(8193).map(i => g.sample(i / 8192 * 100%).components().map(norm)); let dyadic = range(ss.len() - 1).map(i => { let a = ss.at(i).at(1); let b = ss.at(i + 1).at(1); range(129).map(k => g.sample(a + (b - a) * k / 128).components().map(norm)) }); let probes = (0%,).map(t => g.sample(t).components().map(norm)); (mesh, dyadic, probes)	28d1f44428242710df557f7577fa4e2434cb399aad3d85dd17a5e38693826880	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0026	rsvg-convert --zoom 1 -o /tmp/p1268/oracle_v3/masks/S02-radial-oklab.png /tmp/p1268/oracle_v3/masks/S02-radial-oklab.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0027	/usr/local/bin/typst compile /repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S02-linear-linear-rgb.typ /tmp/p1268/oracle_v3/binaries/direct/S02-linear-linear-rgb.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0028	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.linear((rgb(38, 70, 83), 0%), (rgb(42, 157, 143), 50%), (rgb(233, 196, 106), 100%), space: color.linear-rgb, angle: 37deg); (g.stops().map(s => (s.at(0).components().map(norm), s.at(1) / 100%)), repr(g.kind()), repr(g.space()), repr(g.angle()), repr(g.center()), repr(g.radius()), repr(g.focal-center()), repr(g.focal-radius()))	5caf892980d6ff20a2f9bfb730d09d77b4162a1e70c82f77ffd6a561c07b4916	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0029	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.linear((rgb(38, 70, 83), 0%), (rgb(42, 157, 143), 50%), (rgb(233, 196, 106), 100%), space: color.linear-rgb, angle: 37deg); let ss = g.stops(); let mesh = range(8193).map(i => g.sample(i / 8192 * 100%).components().map(norm)); let dyadic = range(ss.len() - 1).map(i => { let a = ss.at(i).at(1); let b = ss.at(i + 1).at(1); range(129).map(k => g.sample(a + (b - a) * k / 128).components().map(norm)) }); let probes = (0%,).map(t => g.sample(t).components().map(norm)); (mesh, dyadic, probes)	edbd23c81b1d91da84c186b50ff191912f23d2a5d841143f25d66c62d7a43f19	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0030	rsvg-convert --zoom 1 -o /tmp/p1268/oracle_v3/masks/S02-linear-linear-rgb.png /tmp/p1268/oracle_v3/masks/S02-linear-linear-rgb.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0031	/usr/local/bin/typst compile /repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S02-radial-linear-rgb.typ /tmp/p1268/oracle_v3/binaries/direct/S02-radial-linear-rgb.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0032	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.radial((rgb(38, 70, 83), 0%), (rgb(42, 157, 143), 50%), (rgb(233, 196, 106), 100%), space: color.linear-rgb, center: (50%, 50%), radius: 60%, focal-center: (50%, 50%), focal-radius: 0%); (g.stops().map(s => (s.at(0).components().map(norm), s.at(1) / 100%)), repr(g.kind()), repr(g.space()), repr(g.angle()), repr(g.center()), repr(g.radius()), repr(g.focal-center()), repr(g.focal-radius()))	8c498abb6a4a03873c270d76174e7f05fe86b4c9160be17ee936a18588f7d1b1	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0033	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.radial((rgb(38, 70, 83), 0%), (rgb(42, 157, 143), 50%), (rgb(233, 196, 106), 100%), space: color.linear-rgb, center: (50%, 50%), radius: 60%, focal-center: (50%, 50%), focal-radius: 0%); let ss = g.stops(); let mesh = range(8193).map(i => g.sample(i / 8192 * 100%).components().map(norm)); let dyadic = range(ss.len() - 1).map(i => { let a = ss.at(i).at(1); let b = ss.at(i + 1).at(1); range(129).map(k => g.sample(a + (b - a) * k / 128).components().map(norm)) }); let probes = (0%,).map(t => g.sample(t).components().map(norm)); (mesh, dyadic, probes)	edbd23c81b1d91da84c186b50ff191912f23d2a5d841143f25d66c62d7a43f19	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0034	rsvg-convert --zoom 1 -o /tmp/p1268/oracle_v3/masks/S02-radial-linear-rgb.png /tmp/p1268/oracle_v3/masks/S02-radial-linear-rgb.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0035	/usr/local/bin/typst compile /repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S03-linear-oklab.typ /tmp/p1268/oracle_v3/binaries/direct/S03-linear-oklab.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0036	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.linear((red.transparentize(100%), 0%), (rgb(46, 204, 64), 3.7037037037037%), (blue, 29.6296296296296%), (yellow, 100%), space: color.oklab, angle: 90deg); (g.stops().map(s => (s.at(0).components().map(norm), s.at(1) / 100%)), repr(g.kind()), repr(g.space()), repr(g.angle()), repr(g.center()), repr(g.radius()), repr(g.focal-center()), repr(g.focal-radius()))	23ed07e4bea9e4a031eab6911e907a2a8cf6452f0fbcf708160b2dfcf550c22a	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0037	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.linear((red.transparentize(100%), 0%), (rgb(46, 204, 64), 3.7037037037037%), (blue, 29.6296296296296%), (yellow, 100%), space: color.oklab, angle: 90deg); let ss = g.stops(); let mesh = range(8193).map(i => g.sample(i / 8192 * 100%).components().map(norm)); let dyadic = range(ss.len() - 1).map(i => { let a = ss.at(i).at(1); let b = ss.at(i + 1).at(1); range(129).map(k => g.sample(a + (b - a) * k / 128).components().map(norm)) }); let probes = (0%,).map(t => g.sample(t).components().map(norm)); (mesh, dyadic, probes)	ff1fc952a19567d56540335e6bfc0e94758de8724119780342fc19941c0eabbd	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0038	rsvg-convert --zoom 1 -o /tmp/p1268/oracle_v3/masks/S03-linear-oklab.png /tmp/p1268/oracle_v3/masks/S03-linear-oklab.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0039	/usr/local/bin/typst compile /repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S03-radial-oklab.typ /tmp/p1268/oracle_v3/binaries/direct/S03-radial-oklab.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0040	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.radial((red.transparentize(100%), 0%), (rgb(46, 204, 64), 3.7037037037037%), (blue, 29.6296296296296%), (yellow, 100%), space: color.oklab, center: (50%, 50%), radius: 65%, focal-center: (30%, 40%), focal-radius: 10%); (g.stops().map(s => (s.at(0).components().map(norm), s.at(1) / 100%)), repr(g.kind()), repr(g.space()), repr(g.angle()), repr(g.center()), repr(g.radius()), repr(g.focal-center()), repr(g.focal-radius()))	7e7a28c6c9f592154cbd54955be3ae9877c5907d9aaee1bc8c2b77c15e9a8c17	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0041	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.radial((red.transparentize(100%), 0%), (rgb(46, 204, 64), 3.7037037037037%), (blue, 29.6296296296296%), (yellow, 100%), space: color.oklab, center: (50%, 50%), radius: 65%, focal-center: (30%, 40%), focal-radius: 10%); let ss = g.stops(); let mesh = range(8193).map(i => g.sample(i / 8192 * 100%).components().map(norm)); let dyadic = range(ss.len() - 1).map(i => { let a = ss.at(i).at(1); let b = ss.at(i + 1).at(1); range(129).map(k => g.sample(a + (b - a) * k / 128).components().map(norm)) }); let probes = (0%,).map(t => g.sample(t).components().map(norm)); (mesh, dyadic, probes)	ff1fc952a19567d56540335e6bfc0e94758de8724119780342fc19941c0eabbd	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0042	rsvg-convert --zoom 1 -o /tmp/p1268/oracle_v3/masks/S03-radial-oklab.png /tmp/p1268/oracle_v3/masks/S03-radial-oklab.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0043	/usr/local/bin/typst compile /repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S03-linear-linear-rgb.typ /tmp/p1268/oracle_v3/binaries/direct/S03-linear-linear-rgb.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0044	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.linear((red.transparentize(100%), 0%), (rgb(46, 204, 64), 3.7037037037037%), (blue, 29.6296296296296%), (yellow, 100%), space: color.linear-rgb, angle: 90deg); (g.stops().map(s => (s.at(0).components().map(norm), s.at(1) / 100%)), repr(g.kind()), repr(g.space()), repr(g.angle()), repr(g.center()), repr(g.radius()), repr(g.focal-center()), repr(g.focal-radius()))	0f5f52d9782bc006ffd8fdcedc174d84be809e54a94d413573071d28ff2ea095	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0045	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.linear((red.transparentize(100%), 0%), (rgb(46, 204, 64), 3.7037037037037%), (blue, 29.6296296296296%), (yellow, 100%), space: color.linear-rgb, angle: 90deg); let ss = g.stops(); let mesh = range(8193).map(i => g.sample(i / 8192 * 100%).components().map(norm)); let dyadic = range(ss.len() - 1).map(i => { let a = ss.at(i).at(1); let b = ss.at(i + 1).at(1); range(129).map(k => g.sample(a + (b - a) * k / 128).components().map(norm)) }); let probes = (0%,).map(t => g.sample(t).components().map(norm)); (mesh, dyadic, probes)	8e11e0a571c3a28e26baf5f60bc5bdc2f667b278601ce0aefb466aa2c5a335c2	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0046	rsvg-convert --zoom 1 -o /tmp/p1268/oracle_v3/masks/S03-linear-linear-rgb.png /tmp/p1268/oracle_v3/masks/S03-linear-linear-rgb.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0047	/usr/local/bin/typst compile /repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S03-radial-linear-rgb.typ /tmp/p1268/oracle_v3/binaries/direct/S03-radial-linear-rgb.svg	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
runner-command	C0048	/usr/local/bin/typst eval --format json let norm = x => if type(x) == ratio { x / 100% } else { x }; let g = gradient.radial((red.transparentize(100%), 0%), (rgb(46, 204, 64), 3.7037037037037%), (blue, 29.6296296296296%), (yellow, 100%), space: color.linear-rgb, center: (50%, 50%), radius: 65%, focal-center: (30%, 40%), focal-radius: 10%); (g.stops().map(s => (s.at(0).components().map(norm), s.at(1) / 100%)), repr(g.kind()), repr(g.space()), repr(g.angle()), repr(g.center()), repr(g.radius()), repr(g.focal-center()), repr(g.focal-radius()))	b85c35b264635729716ddd1f176bea03b3c269f2da40c278ec0077d851f6f343	exit=0;stderr_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
