fixture_id	pair	candidate_M	vanilla_M	max_semantic_offset_delta	max_component_carrier_delta	kind_space_equal	ordered_multiplicity_preserved	mechanics_note	status
S04-linear-linear-rgb	linear/linear-rgb	8	8	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S04-radial-linear-rgb	radial/linear-rgb	8	8	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S05-linear-oklab	linear/oklab	16	16	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S05-radial-oklab	radial/oklab	16	16	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S05-linear-linear-rgb	linear/linear-rgb	16	16	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S05-radial-linear-rgb	radial/linear-rgb	16	16	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S06-linear-oklab	linear/oklab	32	32	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S06-radial-oklab	radial/oklab	32	32	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S06-linear-linear-rgb	linear/linear-rgb	32	32	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S06-radial-linear-rgb	radial/linear-rgb	32	32	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S07-linear-oklab	linear/oklab	3	3	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S07-radial-oklab	radial/oklab	3	3	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S07-linear-linear-rgb	linear/linear-rgb	3	3	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S07-radial-linear-rgb	radial/linear-rgb	3	3	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S08-linear-oklab	linear/oklab	4	4	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S08-radial-oklab	radial/oklab	4	4	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S08-linear-linear-rgb	linear/linear-rgb	4	4	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S08-radial-linear-rgb	radial/linear-rgb	4	4	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S09-linear-oklab	linear/oklab	5	5	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S09-radial-oklab	radial/oklab	5	5	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S09-linear-linear-rgb	linear/linear-rgb	5	5	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S09-radial-linear-rgb	radial/linear-rgb	5	5	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S10-linear-oklab	linear/oklab	8	8	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S10-radial-oklab	radial/oklab	8	8	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S10-linear-linear-rgb	linear/linear-rgb	8	8	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S10-radial-linear-rgb	radial/linear-rgb	8	8	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S11-linear-oklab	linear/oklab	16	16	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S11-radial-oklab	radial/oklab	16	16	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S11-linear-linear-rgb	linear/linear-rgb	16	16	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S11-radial-linear-rgb	radial/linear-rgb	16	16	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S12-linear-oklab	linear/oklab	32	32	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S12-radial-oklab	radial/oklab	32	32	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S12-linear-linear-rgb	linear/linear-rgb	32	32	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S12-radial-linear-rgb	radial/linear-rgb	32	32	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S13-linear-oklab	linear/oklab	4	4	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S13-radial-oklab	radial/oklab	4	4	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S13-linear-linear-rgb	linear/linear-rgb	4	4	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S13-radial-linear-rgb	radial/linear-rgb	4	4	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S14-linear-oklab	linear/oklab	6	6	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S14-radial-oklab	radial/oklab	6	6	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S14-linear-linear-rgb	linear/linear-rgb	6	6	0.0	2.60770320892334e-08	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S14-radial-linear-rgb	radial/linear-rgb	6	6	0.0	2.60770320892334e-08	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S15-linear-oklab	linear/oklab	16	16	0.0	5.960464477539063e-08	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S15-radial-oklab	radial/oklab	16	16	0.0	5.960464477539063e-08	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S15-linear-linear-rgb	linear/linear-rgb	16	16	0.0	8.940696716308594e-08	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S15-radial-linear-rgb	radial/linear-rgb	16	16	0.0	8.940696716308594e-08	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S16-linear-oklab	linear/oklab	8	8	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S16-radial-oklab	radial/oklab	8	8	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S16-linear-linear-rgb	linear/linear-rgb	8	8	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S16-radial-linear-rgb	radial/linear-rgb	8	8	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S17-linear-oklab	linear/oklab	7	7	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S17-radial-oklab	radial/oklab	7	7	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S17-linear-linear-rgb	linear/linear-rgb	7	7	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S17-radial-linear-rgb	radial/linear-rgb	7	7	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S18-linear-oklab	linear/oklab	31	31	0.0	1.341104507446289e-07	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S18-radial-oklab	radial/oklab	31	31	0.0	1.341104507446289e-07	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S18-linear-linear-rgb	linear/linear-rgb	31	31	0.0	1.7881393432617188e-07	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S18-radial-linear-rgb	radial/linear-rgb	31	31	0.0	1.7881393432617188e-07	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S19-linear-oklab	linear/oklab	3	3	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S19-radial-oklab	radial/oklab	3	3	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S19-linear-linear-rgb	linear/linear-rgb	3	3	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S19-radial-linear-rgb	radial/linear-rgb	3	3	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S20-linear-oklab	linear/oklab	4	4	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S20-radial-oklab	radial/oklab	4	4	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S20-linear-linear-rgb	linear/linear-rgb	4	4	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S20-radial-linear-rgb	radial/linear-rgb	4	4	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S21-linear-oklab	linear/oklab	8	8	0.0	2.9802322387695312e-08	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S21-radial-oklab	radial/oklab	8	8	0.0	2.9802322387695312e-08	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S21-linear-linear-rgb	linear/linear-rgb	8	8	0.0	2.9802322387695312e-08	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S21-radial-linear-rgb	radial/linear-rgb	8	8	0.0	2.9802322387695312e-08	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S22-linear-oklab	linear/oklab	16	16	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S22-radial-oklab	radial/oklab	16	16	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S22-linear-linear-rgb	linear/linear-rgb	16	16	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S22-radial-linear-rgb	radial/linear-rgb	16	16	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S23-linear-oklab	linear/oklab	63	63	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S23-radial-oklab	radial/oklab	63	63	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S23-linear-linear-rgb	linear/linear-rgb	63	63	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S23-radial-linear-rgb	radial/linear-rgb	63	63	0.0	0.0	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S24-linear-oklab	linear/oklab	31	31	0.0	8.940696716308594e-08	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S24-radial-oklab	radial/oklab	31	31	0.0	8.940696716308594e-08	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S24-linear-linear-rgb	linear/linear-rgb	31	31	0.0	1.1920928955078125e-07	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
S24-radial-linear-rgb	radial/linear-rgb	31	31	0.0	1.1920928955078125e-07	true	true	component carrier delta is not an independent verdict; G05 owns the language envelope	Preserved
