probe_id	path	profiles	runtime_class_by_profile	language_projection_by_profile	current_language_class	owner_prompt	crystalline_owner_file_line	vanilla_source_file_line	language_observable	causal_hypothesis	refutation	gate_class	universe	cohort_id	measurement_ref
p1307.yaml.value.Module	p1307.yaml.value.Module	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				yaml.encode(calc)	Only this complete bilateral assertion/projection is closed; historical expected preservation is distinct from parity.	Equal complete language observation on same literal source/profile refutes this divergence; a different required owner refutes proposed causal scope.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.Module
p1307.construct.Datetime	p1307.construct.Datetime	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				(repr(type(datetime(year: 2024, month: 2, day: 29))), repr(datetime(year: 2024, month: 2, day: 29)))	Only this complete bilateral assertion/projection is closed; historical expected preservation is distinct from parity.	Equal complete language observation on same literal source/profile refutes this divergence; a different required owner refutes proposed causal scope.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.Datetime
p1307.json.value.Datetime	p1307.json.value.Datetime	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				json.encode(datetime(year: 2024, month: 2, day: 29))	Only this complete bilateral assertion/projection is closed; historical expected preservation is distinct from parity.	Equal complete language observation on same literal source/profile refutes this divergence; a different required owner refutes proposed causal scope.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.Datetime
p1307.toml.value.Datetime	p1307.toml.value.Datetime	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				toml.encode((value: datetime(year: 2024, month: 2, day: 29)))	Only this complete bilateral assertion/projection is closed; historical expected preservation is distinct from parity.	Equal complete language observation on same literal source/profile refutes this divergence; a different required owner refutes proposed causal scope.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.Datetime
p1307.yaml.value.Datetime	p1307.yaml.value.Datetime	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				yaml.encode(datetime(year: 2024, month: 2, day: 29))	Only this complete bilateral assertion/projection is closed; historical expected preservation is distinct from parity.	Equal complete language observation on same literal source/profile refutes this divergence; a different required owner refutes proposed causal scope.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.Datetime
p1307.construct.Func	p1307.construct.Func	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				(repr(type((x => x))), repr((x => x)))	Only this complete bilateral assertion/projection is closed; historical expected preservation is distinct from parity.	Equal complete language observation on same literal source/profile refutes this divergence; a different required owner refutes proposed causal scope.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.Func
p1307.json.value.Func	p1307.json.value.Func	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				json.encode((x => x))	Only this complete bilateral assertion/projection is closed; historical expected preservation is distinct from parity.	Equal complete language observation on same literal source/profile refutes this divergence; a different required owner refutes proposed causal scope.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.Func
p1307.toml.value.Func	p1307.toml.value.Func	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				toml.encode((value: (x => x)))	Only this complete bilateral assertion/projection is closed; historical expected preservation is distinct from parity.	Equal complete language observation on same literal source/profile refutes this divergence; a different required owner refutes proposed causal scope.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.Func
p1307.yaml.value.Func	p1307.yaml.value.Func	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				yaml.encode((x => x))	Only this complete bilateral assertion/projection is closed; historical expected preservation is distinct from parity.	Equal complete language observation on same literal source/profile refutes this divergence; a different required owner refutes proposed causal scope.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.Func
p1307.construct.Content	p1307.construct.Content	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				(repr(type([hi])), repr([hi]))	Only this complete bilateral assertion/projection is closed; historical expected preservation is distinct from parity.	Equal complete language observation on same literal source/profile refutes this divergence; a different required owner refutes proposed causal scope.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.construct.Content
p1307.json.value.Content	p1307.json.value.Content	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				json.encode([hi])	Only this complete bilateral assertion/projection is closed; historical expected preservation is distinct from parity.	Equal complete language observation on same literal source/profile refutes this divergence; a different required owner refutes proposed causal scope.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.json.value.Content
p1307.toml.value.Content	p1307.toml.value.Content	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				toml.encode((value: [hi]))	Only this complete bilateral assertion/projection is closed; historical expected preservation is distinct from parity.	Equal complete language observation on same literal source/profile refutes this divergence; a different required owner refutes proposed causal scope.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.toml.value.Content
p1307.yaml.value.Content	p1307.yaml.value.Content	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	default:Preserved;html:Preserved;a11y:Preserved;html+a11y:Preserved	CLOSED_MEASURED_FUNCTIONAL_SENTINEL				yaml.encode([hi])	Only this complete bilateral assertion/projection is closed; historical expected preservation is distinct from parity.	Equal complete language observation on same literal source/profile refutes this divergence; a different required owner refutes proposed causal scope.	NO_CHANGE_AUTHORIZED	supplement		00_nucleo/diagnosticos/p1322-sentinels-normal.json#p1307.yaml.value.Content
